Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level
A,Morn,1,62.04,,A,Noon,1,76.76,,A,Afternoon,1,55.75,,A,Morn,2,57.9902655,,A,Noon,2,66.888,,A,Afternoon,2,64.5019608,,A,Morn,3,57.8882353,,A,Noon,3,66.8038462,,A,Afternoon,3,72.5666667,,A,Morn,4,41.0705882,,A,Noon,4,71.4307692,,A,Afternoon,4,59.1535714,,B,Morn,1,55.9303571,,B,Noon,1,72.8830189,,B,Afternoon,1,59.7055556,,B,Morn,2,58.6882353,,B,Noon,2,59.7618182,,B,Afternoon,2,68.9245283,,B,Morn,3,59.9259259,,B,Noon,3,62.6169811,,B,Afternoon,3,73.2519231,,B,Morn,4,73.0945455,,B,Noon,4,68.7145455,,B,Afternoon,4,67.954717,,C,Morn,1,48.0173077,,C,Noon,1,69.2862745,,C,Afternoon,1,56.2057692,,C,Morn,2,42.1632653,,C,Noon,2,54.6037037,,C,Afternoon,2,64.045098,,C,Morn,3,35.3272727,,C,Noon,3,63.3903846,,C,Afternoon,3,43.4480769,,C,Morn,4,41.6038462,,C,Noon,4,60.9711539,,C,Afternoon,4,27.7865385
A,Morn,1,51.8,,A,Noon,1,76.76,,A,Afternoon,1,60.05,,A,Morn,2,58.8725664,,A,Noon,2,67.42,,A,Afternoon,2,65.4470588,,A,Morn,3,57.2568628,,A,Noon,3,65.2846154,,A,Afternoon,3,71.1018519,,A,Morn,4,46.7039216,,A,Noon,4,64.5961539,,A,Afternoon,4,58.4803571,,B,Morn,1,55.9821429,,B,Noon,1,72.5415094,,B,Afternoon,1,59.8555556,,B,Morn,2,58.6843137,,B,Noon,2,60.3381818,,B,Afternoon,2,63.509434,,B,Morn,3,59.7074074,,B,Noon,3,62.9283019,,B,Afternoon,3,69.2769231,,B,Morn,4,73.1763636,,B,Noon,4,67.3781818,,B,Afternoon,4,67.5301887,,C,Morn,1,43.5692308,,C,Noon,1,67.0568628,,C,Afternoon,1,57.2134615,,C,Morn,2,47.1877551,,C,Noon,2,50.2833333,,C,Afternoon,2,63.0607843,,C,Morn,3,37.6454546,,C,Noon,3,61.3307692,,C,Afternoon,3,43.3192308,,C,Morn,4,37.3442308,,C,Noon,4,56.6788462,,C,Afternoon,4,26.5826923
A,Morn,1,58.86,,A,Noon,1,76.76,,A,Afternoon,1,67.8,,A,Morn,2,62.761062,,A,Noon,2,65.936,,A,Afternoon,2,70.3117647,,A,Morn,3,55.3509804,,A,Noon,3,66.5115385,,A,Afternoon,3,70.1777778,,A,Morn,4,50.0235294,,A,Noon,4,69.4653846,,A,Afternoon,4,58.4553571,,B,Morn,1,58.5946429,,B,Noon,1,70.7415094,,B,Afternoon,1,60.0962963,,B,Morn,2,54.5627451,,B,Noon,2,60.6363636,,B,Afternoon,2,65.8207547,,B,Morn,3,58.5759259,,B,Noon,3,63.7830189,,B,Afternoon,3,68.9692308,,B,Morn,4,73.5527273,,B,Noon,4,54.7036364,,B,Afternoon,4,68.3320755,,C,Morn,1,43.2423077,,C,Noon,1,67.5764706,,C,Afternoon,1,57.5057692,,C,Morn,2,46.4489796,,C,Noon,2,54.5574074,,C,Afternoon,2,67.3196078,,C,Morn,3,36.7836364,,C,Noon,3,57.3057692,,C,Afternoon,3,42.8,,C,Morn,4,39.5269231,,C,Noon,4,58.4192308,,C,Afternoon,4,26.9923077
A,Morn,1,59.78,,A,Noon,1,76.76,,A,Afternoon,1,59.65,,A,Morn,2,60.1088496,,A,Noon,2,64.05,,A,Afternoon,2,68.3843137,,A,Morn,3,55.5509804,,A,Noon,3,71.7153846,,A,Afternoon,3,69.8925926,,A,Morn,4,49.172549,,A,Noon,4,67.3788462,,A,Afternoon,4,58.6035714,,B,Morn,1,61.0785714,,B,Noon,1,71.590566,,B,Afternoon,1,61.6,,B,Morn,2,56.8294118,,B,Noon,2,62.7381818,,B,Afternoon,2,63.7,,B,Morn,3,59.1962963,,B,Noon,3,65.1113208,,B,Afternoon,3,67.3096154,,B,Morn,4,73.8418182,,B,Noon,4,56.4963636,,B,Afternoon,4,66.6566038,,C,Morn,1,44.1615385,,C,Noon,1,65.3,,C,Afternoon,1,59.5596154,,C,Morn,2,42.3979592,,C,Noon,2,62.1148148,,C,Afternoon,2,67.754902,,C,Morn,3,37.5818182,,C,Noon,3,52.4846154,,C,Afternoon,3,47.7115385,,C,Morn,4,42.95,,C,Noon,4,59.6365385,,C,Afternoon,4,30.3038462
A,Morn,1,59.62,,A,Noon,1,76.76,,A,Afternoon,1,62.75,,A,Morn,2,59.3893805,,A,Noon,2,63.312,,A,Afternoon,2,75.8588235,,A,Morn,3,61.7333333,,A,Noon,3,64.575,,A,Afternoon,3,70.3037037,,A,Morn,4,56.9921569,,A,Noon,4,64.2403846,,A,Afternoon,4,57.8285714,,B,Morn,1,75.5,,B,Noon,1,73.1679245,,B,Afternoon,1,60.7222222,,B,Morn,2,54.2098039,,B,Noon,2,61.1472727,,B,Afternoon,2,65.2735849,,B,Morn,3,61.7111111,,B,Noon,3,71.5207547,,B,Afternoon,3,62.7423077,,B,Morn,4,73.9418182,,B,Noon,4,71.2618182,,B,Afternoon,4,66.8188679,,C,Morn,1,45.6788462,,C,Noon,1,65.5607843,,C,Afternoon,1,59.3923077,,C,Morn,2,42.3571429,,C,Noon,2,52.7592593,,C,Afternoon,2,62.4588235,,C,Morn,3,33.5090909,,C,Noon,3,52.0596154,,C,Afternoon,3,44.2884615,,C,Morn,4,42.4653846,,C,Noon,4,56.8538462,,C,Afternoon,4,29.7211539
A,Morn,1,58.16,,A,Noon,1,76.76,,A,Afternoon,1,65.3,,A,Morn,2,59.8309735,,A,Noon,2,65.622,,A,Afternoon,2,69.8235294,,A,Morn,3,61.0823529,,A,Noon,3,62.4961539,,A,Afternoon,3,70.1444444,,A,Morn,4,61.7509804,,A,Noon,4,77.3288462,,A,Afternoon,4,58.7482143,,B,Morn,1,78.2375,,B,Noon,1,74.4226415,,B,Afternoon,1,59.9296296,,B,Morn,2,50.9235294,,B,Noon,2,61.6054546,,B,Afternoon,2,66.0150943,,B,Morn,3,57.0148148,,B,Noon,3,64.654717,,B,Afternoon,3,64.2192308,,B,Morn,4,72.3272727,,B,Noon,4,82.0745455,,B,Afternoon,4,68.4433962,,C,Morn,1,45.7865385,,C,Noon,1,63.4980392,,C,Afternoon,1,59.4557692,,C,Morn,2,39.8142857,,C,Noon,2,50.3111111,,C,Afternoon,2,65.5823529,,C,Morn,3,34.8327273,,C,Noon,3,52.625,,C,Afternoon,3,41.35,,C,Morn,4,48.3884615,,C,Noon,4,55.1019231,,C,Afternoon,4,27.6
A,Morn,1,58.24,,A,Noon,1,76.76,,A,Afternoon,1,65.2,,A,Morn,2,57.9,,A,Noon,2,62.97,,A,Afternoon,2,75.1745098,,A,Morn,3,66.6156863,,A,Noon,3,69.1653846,,A,Afternoon,3,70.9944444,,A,Morn,4,60.5313726,,A,Noon,4,75.2557692,,A,Afternoon,4,60.6767857,,B,Morn,1,79.1607143,,B,Noon,1,72.9,,B,Afternoon,1,60.0240741,,B,Morn,2,53.2078431,,B,Noon,2,62.0527273,,B,Afternoon,2,67.7773585,,B,Morn,3,58.3277778,,B,Noon,3,61.8622642,,B,Afternoon,3,63.9903846,,B,Morn,4,71.9290909,,B,Noon,4,80.2309091,,B,Afternoon,4,68.2943396,,C,Morn,1,48.9923077,,C,Noon,1,63.2,,C,Afternoon,1,59.2884615,,C,Morn,2,43.2387755,,C,Noon,2,51.7222222,,C,Afternoon,2,63.9098039,,C,Morn,3,31.9981818,,C,Noon,3,51.8807692,,C,Afternoon,3,47.8653846,,C,Morn,4,44.1,,C,Noon,4,59.6826923,,C,Afternoon,4,27.2519231
A,Morn,1,55.58,,A,Noon,1,76.76,,A,Afternoon,1,66.1,,A,Morn,2,52.6,,A,Noon,2,63.678,,A,Afternoon,2,79.2117647,,A,Morn,3,64.072549,,A,Noon,3,74.1519231,,A,Afternoon,3,70.4,,A,Morn,4,57.2196078,,A,Noon,4,76.1442308,,A,Afternoon,4,58.7517857,,B,Morn,1,77.9892857,,B,Noon,1,70.5754717,,B,Afternoon,1,60.9740741,,B,Morn,2,52.3333333,,B,Noon,2,63.3327273,,B,Afternoon,2,68.1018868,,B,Morn,3,57.4537037,,B,Noon,3,64.2528302,,B,Afternoon,3,69.8115385,,B,Morn,4,71.4145455,,B,Noon,4,68.5890909,,B,Afternoon,4,67.3679245,,C,Morn,1,45.8692308,,C,Noon,1,64.5352941,,C,Afternoon,1,65.85,,C,Morn,2,42.6714286,,C,Noon,2,45.5425926,,C,Afternoon,2,59.9588235,,C,Morn,3,32.2636364,,C,Noon,3,52.2730769,,C,Afternoon,3,45.4769231,,C,Morn,4,46.0288462,,C,Noon,4,61.5807692,,C,Afternoon,4,27.7865385
A,Morn,1,57.8,,A,Noon,1,76.76,,A,Afternoon,1,66.55,,A,Morn,2,55.6,,A,Noon,2,63.456,,A,Afternoon,2,72.7647059,,A,Morn,3,66.6705882,,A,Noon,3,74.0192308,,A,Afternoon,3,69.8018519,,A,Morn,4,55.745098,,A,Noon,4,73.2980769,,A,Afternoon,4,60.0714286,,B,Morn,1,77.0892857,,B,Noon,1,67.8433962,,B,Afternoon,1,60.3,,B,Morn,2,54.5431373,,B,Noon,2,61.3327273,,B,Afternoon,2,67.090566,,B,Morn,3,56.8925926,,B,Noon,3,63.8377359,,B,Afternoon,3,68.6134615,,B,Morn,4,71.8563636,,B,Noon,4,85.8036364,,B,Afternoon,4,68.4150943,,C,Morn,1,46.0923077,,C,Noon,1,64.0490196,,C,Afternoon,1,60.0653846,,C,Morn,2,44.7816327,,C,Noon,2,55.3111111,,C,Afternoon,2,60.1470588,,C,Morn,3,31.4072727,,C,Noon,3,52.4480769,,C,Afternoon,3,45.1711539,,C,Morn,4,42.55,,C,Noon,4,54.4826923,,C,Afternoon,4,27.8730769
A,Morn,1,56.44,,A,Noon,1,76.76,,A,Afternoon,1,61.4,,A,Morn,2,58.1,,A,Noon,2,63.24,,A,Afternoon,2,73.6686275,,A,Morn,3,64.3803922,,A,Noon,3,69.2019231,,A,Afternoon,3,71.7462963,,A,Morn,4,54.6254902,,A,Noon,4,76.1423077,,A,Afternoon,4,59.6696429,,B,Morn,1,76.8767857,,B,Noon,1,67.2528302,,B,Afternoon,1,61.8148148,,B,Morn,2,56.5980392,,B,Noon,2,59.4672727,,B,Afternoon,2,65.3811321,,B,Morn,3,56.6222222,,B,Noon,3,62.1056604,,B,Afternoon,3,68.2634615,,B,Morn,4,72.4636364,,B,Noon,4,71.1963636,,B,Afternoon,4,67.8660377,,C,Morn,1,46.7980769,,C,Noon,1,65.127451,,C,Afternoon,1,59.6634615,,C,Morn,2,42.0530612,,C,Noon,2,58.1462963,,C,Afternoon,2,62.9372549,,C,Morn,3,33.3127273,,C,Noon,3,52.6826923,,C,Afternoon,3,43.1115385,,C,Morn,4,45.8423077,,C,Noon,4,59.1538462,,C,Afternoon,4,27.3730769
