Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Gain Bin Mean,,Location,Time of Day,Day,Gain Bin Mean,,Location,Time of Day,Day,Gain Bin Mean,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level
Art,Morning,Tue,61.5842,,Art,Afternoon,1,76.9628,,Art,Evening,1,57.352,,Art,Morning,2,65.0322,,Art,Afternoon,2,56.9992,,Art,Evening,2,67.6496,,Art,Morning,3,57.778,,Art,Afternoon,3,64.5644,,Art,Evening,3,67.3296,,Art,Morning,4,75.60109,,Art,Afternoon,4,73.85945,,Art,Evening,4,67.51927,,Front,Morning,1,80.962,,Front,Afternoon,1,78.9972,,Front,Evening,1,62.3274,,Front,Morning,2,74.2184,,Front,Afternoon,2,70.666,,Front,Evening,2,77.8486,,Front,Morning,3,70.7612,,Front,Afternoon,3,71.0956,,Front,Evening,3,62.69057,,Front,Morning,4,67.92481,,Front,Afternoon,4,73.20463,,Front,Evening,4,66.90132,,Sports,Morning,1,56.9566,,Sports,Afternoon,1,62.594,,Sports,Evening,1,65.3904,,Sports,Morning,2,70.7612,,Sports,Afternoon,2,71.0956,,Sports,Evening,2,67.244,,Sports,Morning,3,68.70655,,Sports,Afternoon,3,69.116,,Sports,Evening,3,81.00431,,Sports,Morning,4,66.226,,Sports,Afternoon,4,61.004,,Sports,Evening,4,67.23382
Art,Morning,Tue,60.7726,,Art,Afternoon,1,75.9122,,Art,Evening,1,56.558,,Art,Morning,2,62.3294,,Art,Afternoon,2,66.5548,,Art,Evening,2,67.597,,Art,Morning,3,59.34,,Art,Afternoon,3,67.2116,,Art,Evening,3,72.0958,,Art,Morning,4,72.69291,,Art,Afternoon,4,75.01691,,Art,Evening,4,67.79855,,Front,Morning,1,78.176,,Front,Afternoon,1,77.6952,,Front,Evening,1,57.3258,,Front,Morning,2,72.1044,,Front,Afternoon,2,73.034,,Front,Evening,2,80.648,,Front,Morning,3,67.8576,,Front,Afternoon,3,59.2254,,Front,Evening,3,59.80547,,Front,Morning,4,70.32907,,Front,Afternoon,4,73.86358,,Front,Evening,4,65.7237,,Sports,Morning,1,55.4146,,Sports,Afternoon,1,72.648,,Sports,Evening,1,60.3164,,Sports,Morning,2,67.8576,,Sports,Afternoon,2,59.2254,,Sports,Evening,2,66.688,,Sports,Morning,3,72.17618,,Sports,Afternoon,3,67.652,,Sports,Evening,3,78.46569,,Sports,Morning,4,65.998,,Sports,Afternoon,4,60.706,,Sports,Evening,4,63.85636
Art,Morning,Tue,62.2112,,Art,Afternoon,1,73.5248,,Art,Evening,1,60.5,,Art,Morning,2,64.4066,,Art,Afternoon,2,67.537,,Art,Evening,2,71.2644,,Art,Morning,3,58.718,,Art,Afternoon,3,72.3998,,Art,Evening,3,70.4932,,Art,Morning,4,74.92509,,Art,Afternoon,4,76.77255,,Art,Evening,4,66.95891,,Front,Morning,1,79.058,,Front,Afternoon,1,74.587,,Front,Evening,1,56.086,,Front,Morning,2,71.8036,,Front,Afternoon,2,68.848,,Front,Evening,2,81.7038,,Front,Morning,3,69.7894,,Front,Afternoon,3,64.368,,Front,Evening,3,60.55778,,Front,Morning,4,76.78283,,Front,Afternoon,4,75.92704,,Front,Evening,4,61.38491,,Sports,Morning,1,54.6358,,Sports,Afternoon,1,71.912,,Sports,Evening,1,65.8254,,Sports,Morning,2,69.7894,,Sports,Afternoon,2,64.368,,Sports,Evening,2,70.406,,Sports,Morning,3,72.22127,,Sports,Afternoon,3,70.398,,Sports,Evening,3,78.49138,,Sports,Morning,4,69.122,,Sports,Afternoon,4,61.69,,Sports,Evening,4,62.23236
Art,Morning,Tue,61.128,,Art,Afternoon,1,74.295,,Art,Evening,1,64.114,,Art,Morning,2,64.8818,,Art,Afternoon,2,64.8486,,Art,Evening,2,72.0316,,Art,Morning,3,60.254,,Art,Afternoon,3,69.4834,,Art,Evening,3,67.2754,,Art,Morning,4,75.26782,,Art,Afternoon,4,77.47182,,Art,Evening,4,69.61473,,Front,Morning,1,83.22,,Front,Afternoon,1,78.1626,,Front,Evening,1,58.5318,,Front,Morning,2,67.7102,,Front,Afternoon,2,70.352,,Front,Evening,2,82.1866,,Front,Morning,3,68.6158,,Front,Afternoon,3,60.2676,,Front,Evening,3,59.60396,,Front,Morning,4,74.82574,,Front,Afternoon,4,75.26887,,Front,Evening,4,57.26333,,Sports,Morning,1,60.4202,,Sports,Afternoon,1,75.63,,Sports,Evening,1,68.9912,,Sports,Morning,2,68.6158,,Sports,Afternoon,2,60.2676,,Sports,Evening,2,65.402,,Sports,Morning,3,73.338,,Sports,Afternoon,3,68.454,,Sports,Evening,3,76.54759,,Sports,Morning,4,70.6,,Sports,Afternoon,4,58.802,,Sports,Evening,4,61.73018
Art,Morning,Tue,59.1264,,Art,Afternoon,1,74.8818,,Art,Evening,1,61.314,,Art,Morning,2,67.6618,,Art,Afternoon,2,61.8318,,Art,Evening,2,73.5868,,Art,Morning,3,62.168,,Art,Afternoon,3,73.7348,,Art,Evening,3,70.3756,,Art,Morning,4,76.58982,,Art,Afternoon,4,74.79691,,Art,Evening,4,73.68455,,Front,Morning,1,88.624,,Front,Afternoon,1,75.6836,,Front,Evening,1,56.7786,,Front,Morning,2,71.0788,,Front,Afternoon,2,68.24,,Front,Evening,2,82.4804,,Front,Morning,3,66.0576,,Front,Afternoon,3,65.9226,,Front,Evening,3,61.20698,,Front,Morning,4,74.49796,,Front,Afternoon,4,74.98264,,Front,Evening,4,56.30717,,Sports,Morning,1,55.339,,Sports,Afternoon,1,61.83,,Sports,Evening,1,67.5254,,Sports,Morning,2,66.0576,,Sports,Afternoon,2,65.9226,,Sports,Evening,2,67.492,,Sports,Morning,3,74.27727,,Sports,Afternoon,3,69.036,,Sports,Evening,3,77.24379,,Sports,Morning,4,72.374,,Sports,Afternoon,4,60.098,,Sports,Evening,4,62.79927
Art,Morning,Tue,61,,Art,Afternoon,1,73.5602,,Art,Evening,1,61.138,,Art,Morning,2,68.3058,,Art,Afternoon,2,61.872,,Art,Evening,2,69.2708,,Art,Morning,3,63.888,,Art,Afternoon,3,72.8804,,Art,Evening,3,65.5458,,Art,Morning,4,75.31019,,Art,Afternoon,4,79.95,,Art,Evening,4,68.81111,,Front,Morning,1,86.912,,Front,Afternoon,1,74.0842,,Front,Evening,1,48.5324,,Front,Morning,2,77.4194,,Front,Afternoon,2,70.968,,Front,Evening,2,81.061,,Front,Morning,3,71.091,,Front,Afternoon,3,65.895,,Front,Evening,3,57.28943,,Front,Morning,4,79.33038,,Front,Afternoon,4,74.1863,,Front,Evening,4,59.62778,,Sports,Morning,1,54.5284,,Sports,Afternoon,1,67.14,,Sports,Evening,1,66.5372,,Sports,Morning,2,71.091,,Sports,Afternoon,2,65.895,,Sports,Evening,2,66.878,,Sports,Morning,3,69.36091,,Sports,Afternoon,3,70.342,,Sports,Evening,3,79.24448,,Sports,Morning,4,65.788,,Sports,Afternoon,4,59.732,,Sports,Evening,4,64.98582
Art,Morning,Tue,58.2386,,Art,Afternoon,1,71.4468,,Art,Evening,1,59.834,,Art,Morning,2,66.3948,,Art,Afternoon,2,64.9836,,Art,Evening,2,70.9108,,Art,Morning,3,63.512,,Art,Afternoon,3,70.5374,,Art,Evening,3,67.613,,Art,Morning,4,73.15091,,Art,Afternoon,4,81.05927,,Art,Evening,4,71.53418,,Front,Morning,1,80.75,,Front,Afternoon,1,83.772,,Front,Evening,1,53.0438,,Front,Morning,2,75.2616,,Front,Afternoon,2,66.788,,Front,Evening,2,83.0164,,Front,Morning,3,72.8296,,Front,Afternoon,3,69.053,,Front,Evening,3,59.70434,,Front,Morning,4,72.73407,,Front,Afternoon,4,71.8066,,Front,Evening,4,59.20868,,Sports,Morning,1,52.0014,,Sports,Afternoon,1,71.49,,Sports,Evening,1,64.9858,,Sports,Morning,2,72.8296,,Sports,Afternoon,2,69.053,,Sports,Evening,2,68.062,,Sports,Morning,3,75.56018,,Sports,Afternoon,3,70.674,,Sports,Evening,3,81.58172,,Sports,Morning,4,67.836,,Sports,Afternoon,4,61.574,,Sports,Evening,4,61.09764
Art,Morning,Tue,64.2614,,Art,Afternoon,1,75.4362,,Art,Evening,1,64.098,,Art,Morning,2,62.888,,Art,Afternoon,2,57.3408,,Art,Evening,2,66.9656,,Art,Morning,3,61.392,,Art,Afternoon,3,66.858,,Art,Evening,3,70.758,,Art,Morning,4,74.45436,,Art,Afternoon,4,79.67236,,Art,Evening,4,72.11618,,Front,Morning,1,78.202,,Front,Afternoon,1,77.321,,Front,Evening,1,54.0752,,Front,Morning,2,69.88,,Front,Afternoon,2,66.014,,Front,Evening,2,80.6196,,Front,Morning,3,73.769,,Front,Afternoon,3,66.932,,Front,Evening,3,66.1134,,Front,Morning,4,69.98463,,Front,Afternoon,4,69.71057,,Front,Evening,4,62.55037,,Sports,Morning,1,49.982,,Sports,Afternoon,1,70.758,,Sports,Evening,1,67.937,,Sports,Morning,2,73.769,,Sports,Afternoon,2,66.932,,Sports,Evening,2,70.4,,Sports,Morning,3,73.61036,,Sports,Afternoon,3,73.27,,Sports,Evening,3,75.83655,,Sports,Morning,4,67.006,,Sports,Afternoon,4,61.082,,Sports,Evening,4,64.06473
Art,Morning,Tue,63.1736,,Art,Afternoon,1,75.6302,,Art,Evening,1,66.318,,Art,Morning,2,63.0608,,Art,Afternoon,2,60.087,,Art,Evening,2,65.1208,,Art,Morning,3,61.292,,Art,Afternoon,3,61.5732,,Art,Evening,3,69.2154,,Art,Morning,4,71.07982,,Art,Afternoon,4,80.84836,,Art,Evening,4,68.02927,,Front,Morning,1,78.496,,Front,Afternoon,1,77.9782,,Front,Evening,1,53.8364,,Front,Morning,2,70.999,,Front,Afternoon,2,68.276,,Front,Evening,2,78.265,,Front,Morning,3,73.5474,,Front,Afternoon,3,64.9054,,Front,Evening,3,63.49623,,Front,Morning,4,66.89352,,Front,Afternoon,4,63.09222,,Front,Evening,4,67.99057,,Sports,Morning,1,48.0564,,Sports,Afternoon,1,67.01,,Sports,Evening,1,72.2968,,Sports,Morning,2,73.5474,,Sports,Afternoon,2,64.9054,,Sports,Evening,2,67.08,,Sports,Morning,3,72.51574,,Sports,Afternoon,3,70.082,,Sports,Evening,3,70.80138,,Sports,Morning,4,66.39,,Sports,Afternoon,4,63.998,,Sports,Evening,4,65.36545
Art,Morning,Tue,64.6416,,Art,Afternoon,1,75.6302,,Art,Evening,1,70.22,,Art,Morning,2,60.3454,,Art,Afternoon,2,61.8174,,Art,Evening,2,65.304,,Art,Morning,3,61.874,,Art,Afternoon,3,65.3522,,Art,Evening,3,64.322,,Art,Morning,4,76.19855,,Art,Afternoon,4,80.46073,,Art,Evening,4,64.75291,,Front,Morning,1,80.418,,Front,Afternoon,1,74.004,,Front,Evening,1,57.117,,Front,Morning,2,69.1484,,Front,Afternoon,2,69.398,,Front,Evening,2,79.3152,,Front,Morning,3,70.5972,,Front,Afternoon,3,71.9518,,Front,Evening,3,65.09528,,Front,Morning,4,72.10623,,Front,Afternoon,4,64.62906,,Front,Evening,4,66.26741,,Sports,Morning,1,52.1784,,Sports,Afternoon,1,64.054,,Sports,Evening,1,72.2212,,Sports,Morning,2,70.5972,,Sports,Afternoon,2,71.9518,,Sports,Evening,2,66.538,,Sports,Morning,3,71.07309,,Sports,Afternoon,3,71.964,,Sports,Evening,3,76.41879,,Sports,Morning,4,65.31,,Sports,Afternoon,4,62.014,,Sports,Evening,4,66.39109
